,Request Id,request_preemption_time,cdf
97,97,0.0,0.049
98,98,0.0,0.0495
99,99,0.0,0.05
100,100,0.0,0.0505
101,101,0.0,0.051
102,102,0.0,0.0515
103,103,0.0,0.052
104,104,0.0,0.0525
105,105,0.0,0.053
106,106,0.0,0.0535
107,107,0.0,0.054
108,108,0.0,0.0545
109,109,0.0,0.055
110,110,0.0,0.0555
111,111,0.0,0.056
112,112,0.0,0.0565
113,113,0.0,0.057
114,114,0.0,0.0575
115,115,0.0,0.058
116,116,0.0,0.0585
117,117,0.0,0.059
118,118,0.0,0.0595
119,119,0.0,0.06
120,120,0.0,0.0605
121,121,0.0,0.061
122,122,0.0,0.0615
123,123,0.0,0.062
124,124,0.0,0.0625
125,125,0.0,0.063
126,126,0.0,0.0635
127,127,0.0,0.064
128,128,0.0,0.0645
129,129,0.0,0.065
130,130,0.0,0.0655
131,131,0.0,0.066
132,132,0.0,0.0665
133,133,0.0,0.067
134,134,0.0,0.0675
135,135,0.0,0.068
136,136,0.0,0.0685
137,137,0.0,0.069
138,138,0.0,0.0695
139,139,0.0,0.07
141,141,0.0,0.0705
142,142,0.0,0.071
143,143,0.0,0.0715
144,144,0.0,0.072
155,155,0.0,0.0725
156,156,0.0,0.073
157,157,0.0,0.0735
158,158,0.0,0.074
159,159,0.0,0.0745
160,160,0.0,0.075
161,161,0.0,0.0755
162,162,0.0,0.076
168,168,0.0,0.0765
169,169,0.0,0.077
170,170,0.0,0.0775
171,171,0.0,0.078
172,172,0.0,0.0785
173,173,0.0,0.079
177,177,0.0,0.0795
178,178,0.0,0.08
179,179,0.0,0.0805
180,180,0.0,0.081
181,181,0.0,0.0815
182,182,0.0,0.082
183,183,0.0,0.0825
184,184,0.0,0.083
185,185,0.0,0.0835
186,186,0.0,0.084
187,187,0.0,0.0845
188,188,0.0,0.085
189,189,0.0,0.0855
190,190,0.0,0.086
191,191,0.0,0.0865
192,192,0.0,0.087
193,193,0.0,0.0875
194,194,0.0,0.088
195,195,0.0,0.0885
196,196,0.0,0.089
197,197,0.0,0.0895
199,199,0.0,0.09
200,200,0.0,0.0905
201,201,0.0,0.091
202,202,0.0,0.0915
203,203,0.0,0.092
204,204,0.0,0.0925
205,205,0.0,0.093
206,206,0.0,0.0935
207,207,0.0,0.094
208,208,0.0,0.0945
209,209,0.0,0.095
210,210,0.0,0.0955
211,211,0.0,0.096
212,212,0.0,0.0965
213,213,0.0,0.097
214,214,0.0,0.0975
215,215,0.0,0.098
216,216,0.0,0.0985
217,217,0.0,0.099
218,218,0.0,0.0995
219,219,0.0,0.1
220,220,0.0,0.1005
221,221,0.0,0.101
222,222,0.0,0.1015
223,223,0.0,0.102
224,224,0.0,0.1025
225,225,0.0,0.103
227,227,0.0,0.1035
230,230,0.0,0.104
236,236,0.0,0.1045
237,237,0.0,0.105
240,240,0.0,0.1055
241,241,0.0,0.106
242,242,0.0,0.1065
243,243,0.0,0.107
244,244,0.0,0.1075
245,245,0.0,0.108
246,246,0.0,0.1085
247,247,0.0,0.109
248,248,0.0,0.1095
249,249,0.0,0.11
251,251,0.0,0.1105
252,252,0.0,0.111
253,253,0.0,0.1115
254,254,0.0,0.112
275,275,0.0,0.1125
276,276,0.0,0.113
277,277,0.0,0.1135
278,278,0.0,0.114
279,279,0.0,0.1145
280,280,0.0,0.115
281,281,0.0,0.1155
282,282,0.0,0.116
283,283,0.0,0.1165
284,284,0.0,0.117
285,285,0.0,0.1175
286,286,0.0,0.118
287,287,0.0,0.1185
288,288,0.0,0.119
289,289,0.0,0.1195
290,290,0.0,0.12
291,291,0.0,0.1205
292,292,0.0,0.121
293,293,0.0,0.1215
294,294,0.0,0.122
295,295,0.0,0.1225
296,296,0.0,0.123
297,297,0.0,0.1235
298,298,0.0,0.124
299,299,0.0,0.1245
300,300,0.0,0.125
301,301,0.0,0.1255
302,302,0.0,0.126
303,303,0.0,0.1265
304,304,0.0,0.127
305,305,0.0,0.1275
306,306,0.0,0.128
307,307,0.0,0.1285
308,308,0.0,0.129
309,309,0.0,0.1295
310,310,0.0,0.13
311,311,0.0,0.1305
312,312,0.0,0.131
313,313,0.0,0.1315
314,314,0.0,0.132
315,315,0.0,0.1325
316,316,0.0,0.133
317,317,0.0,0.1335
318,318,0.0,0.134
319,319,0.0,0.1345
320,320,0.0,0.135
321,321,0.0,0.1355
322,322,0.0,0.136
323,323,0.0,0.1365
324,324,0.0,0.137
325,325,0.0,0.1375
326,326,0.0,0.138
327,327,0.0,0.1385
328,328,0.0,0.139
329,329,0.0,0.1395
330,330,0.0,0.14
331,331,0.0,0.1405
332,332,0.0,0.141
333,333,0.0,0.1415
334,334,0.0,0.142
335,335,0.0,0.1425
336,336,0.0,0.143
337,337,0.0,0.1435
338,338,0.0,0.144
339,339,0.0,0.1445
340,340,0.0,0.145
341,341,0.0,0.1455
342,342,0.0,0.146
343,343,0.0,0.1465
344,344,0.0,0.147
345,345,0.0,0.1475
346,346,0.0,0.148
347,347,0.0,0.1485
348,348,0.0,0.149
349,349,0.0,0.1495
350,350,0.0,0.15
351,351,0.0,0.1505
352,352,0.0,0.151
353,353,0.0,0.1515
354,354,0.0,0.152
355,355,0.0,0.1525
356,356,0.0,0.153
357,357,0.0,0.1535
358,358,0.0,0.154
407,407,0.0,0.1545
408,408,0.0,0.155
409,409,0.0,0.1555
410,410,0.0,0.156
411,411,0.0,0.1565
412,412,0.0,0.157
413,413,0.0,0.1575
414,414,0.0,0.158
415,415,0.0,0.1585
416,416,0.0,0.159
417,417,0.0,0.1595
418,418,0.0,0.16
419,419,0.0,0.1605
420,420,0.0,0.161
421,421,0.0,0.1615
422,422,0.0,0.162
423,423,0.0,0.1625
424,424,0.0,0.163
425,425,0.0,0.1635
426,426,0.0,0.164
427,427,0.0,0.1645
428,428,0.0,0.165
429,429,0.0,0.1655
430,430,0.0,0.166
431,431,0.0,0.1665
432,432,0.0,0.167
433,433,0.0,0.1675
434,434,0.0,0.168
435,435,0.0,0.1685
436,436,0.0,0.169
437,437,0.0,0.1695
438,438,0.0,0.17
439,439,0.0,0.1705
440,440,0.0,0.171
441,441,0.0,0.1715
442,442,0.0,0.172
443,443,0.0,0.1725
444,444,0.0,0.173
445,445,0.0,0.1735
446,446,0.0,0.174
447,447,0.0,0.1745
448,448,0.0,0.175
449,449,0.0,0.1755
450,450,0.0,0.176
451,451,0.0,0.1765
452,452,0.0,0.177
453,453,0.0,0.1775
454,454,0.0,0.178
455,455,0.0,0.1785
456,456,0.0,0.179
457,457,0.0,0.1795
458,458,0.0,0.18
459,459,0.0,0.1805
460,460,0.0,0.181
461,461,0.0,0.1815
462,462,0.0,0.182
463,463,0.0,0.1825
464,464,0.0,0.183
465,465,0.0,0.1835
466,466,0.0,0.184
467,467,0.0,0.1845
468,468,0.0,0.185
469,469,0.0,0.1855
470,470,0.0,0.186
471,471,0.0,0.1865
472,472,0.0,0.187
473,473,0.0,0.1875
474,474,0.0,0.188
475,475,0.0,0.1885
476,476,0.0,0.189
532,532,0.0,0.1895
533,533,0.0,0.19
534,534,0.0,0.1905
535,535,0.0,0.191
536,536,0.0,0.1915
537,537,0.0,0.192
538,538,0.0,0.1925
539,539,0.0,0.193
540,540,0.0,0.1935
541,541,0.0,0.194
542,542,0.0,0.1945
543,543,0.0,0.195
544,544,0.0,0.1955
545,545,0.0,0.196
546,546,0.0,0.1965
547,547,0.0,0.197
548,548,0.0,0.1975
549,549,0.0,0.198
550,550,0.0,0.1985
551,551,0.0,0.199
552,552,0.0,0.1995
553,553,0.0,0.2
554,554,0.0,0.2005
555,555,0.0,0.201
556,556,0.0,0.2015
557,557,0.0,0.202
558,558,0.0,0.2025
559,559,0.0,0.203
560,560,0.0,0.2035
561,561,0.0,0.204
562,562,0.0,0.2045
563,563,0.0,0.205
564,564,0.0,0.2055
565,565,0.0,0.206
566,566,0.0,0.2065
567,567,0.0,0.207
568,568,0.0,0.2075
569,569,0.0,0.208
570,570,0.0,0.2085
571,571,0.0,0.209
572,572,0.0,0.2095
573,573,0.0,0.21
574,574,0.0,0.2105
575,575,0.0,0.211
576,576,0.0,0.2115
577,577,0.0,0.212
578,578,0.0,0.2125
579,579,0.0,0.213
580,580,0.0,0.2135
581,581,0.0,0.214
582,582,0.0,0.2145
583,583,0.0,0.215
584,584,0.0,0.2155
585,585,0.0,0.216
586,586,0.0,0.2165
587,587,0.0,0.217
588,588,0.0,0.2175
589,589,0.0,0.218
590,590,0.0,0.2185
591,591,0.0,0.219
592,592,0.0,0.2195
593,593,0.0,0.22
594,594,0.0,0.2205
595,595,0.0,0.221
596,596,0.0,0.2215
597,597,0.0,0.222
598,598,0.0,0.2225
599,599,0.0,0.223
600,600,0.0,0.2235
649,649,0.0,0.224
650,650,0.0,0.2245
651,651,0.0,0.225
652,652,0.0,0.2255
653,653,0.0,0.226
654,654,0.0,0.2265
655,655,0.0,0.227
656,656,0.0,0.2275
657,657,0.0,0.228
658,658,0.0,0.2285
659,659,0.0,0.229
660,660,0.0,0.2295
661,661,0.0,0.23
662,662,0.0,0.2305
663,663,0.0,0.231
664,664,0.0,0.2315
665,665,0.0,0.232
666,666,0.0,0.2325
667,667,0.0,0.233
668,668,0.0,0.2335
669,669,0.0,0.234
670,670,0.0,0.2345
671,671,0.0,0.235
672,672,0.0,0.2355
673,673,0.0,0.236
674,674,0.0,0.2365
675,675,0.0,0.237
676,676,0.0,0.2375
677,677,0.0,0.238
678,678,0.0,0.2385
679,679,0.0,0.239
680,680,0.0,0.2395
681,681,0.0,0.24
682,682,0.0,0.2405
683,683,0.0,0.241
684,684,0.0,0.2415
685,685,0.0,0.242
686,686,0.0,0.2425
687,687,0.0,0.243
688,688,0.0,0.2435
689,689,0.0,0.244
690,690,0.0,0.2445
691,691,0.0,0.245
692,692,0.0,0.2455
693,693,0.0,0.246
694,694,0.0,0.2465
695,695,0.0,0.247
696,696,0.0,0.2475
697,697,0.0,0.248
698,698,0.0,0.2485
699,699,0.0,0.249
700,700,0.0,0.2495
701,701,0.0,0.25
702,702,0.0,0.2505
703,703,0.0,0.251
704,704,0.0,0.2515
705,705,0.0,0.252
706,706,0.0,0.2525
707,707,0.0,0.253
708,708,0.0,0.2535
709,709,0.0,0.254
710,710,0.0,0.2545
711,711,0.0,0.255
712,712,0.0,0.2555
713,713,0.0,0.256
714,714,0.0,0.2565
776,776,0.0,0.257
777,777,0.0,0.2575
778,778,0.0,0.258
779,779,0.0,0.2585
780,780,0.0,0.259
781,781,0.0,0.2595
782,782,0.0,0.26
783,783,0.0,0.2605
784,784,0.0,0.261
785,785,0.0,0.2615
786,786,0.0,0.262
787,787,0.0,0.2625
788,788,0.0,0.263
789,789,0.0,0.2635
790,790,0.0,0.264
791,791,0.0,0.2645
792,792,0.0,0.265
793,793,0.0,0.2655
794,794,0.0,0.266
795,795,0.0,0.2665
796,796,0.0,0.267
797,797,0.0,0.2675
798,798,0.0,0.268
799,799,0.0,0.2685
800,800,0.0,0.269
801,801,0.0,0.2695
802,802,0.0,0.27
803,803,0.0,0.2705
804,804,0.0,0.271
805,805,0.0,0.2715
806,806,0.0,0.272
807,807,0.0,0.2725
808,808,0.0,0.273
809,809,0.0,0.2735
810,810,0.0,0.274
811,811,0.0,0.2745
812,812,0.0,0.275
813,813,0.0,0.2755
814,814,0.0,0.276
815,815,0.0,0.2765
816,816,0.0,0.277
817,817,0.0,0.2775
818,818,0.0,0.278
819,819,0.0,0.2785
820,820,0.0,0.279
821,821,0.0,0.2795
822,822,0.0,0.28
823,823,0.0,0.2805
824,824,0.0,0.281
825,825,0.0,0.2815
826,826,0.0,0.282
827,827,0.0,0.2825
828,828,0.0,0.283
829,829,0.0,0.2835
830,830,0.0,0.284
831,831,0.0,0.2845
832,832,0.0,0.285
885,885,0.0,0.2855
886,886,0.0,0.286
887,887,0.0,0.2865
888,888,0.0,0.287
889,889,0.0,0.2875
890,890,0.0,0.288
891,891,0.0,0.2885
892,892,0.0,0.289
893,893,0.0,0.2895
894,894,0.0,0.29
895,895,0.0,0.2905
896,896,0.0,0.291
897,897,0.0,0.2915
898,898,0.0,0.292
899,899,0.0,0.2925
900,900,0.0,0.293
901,901,0.0,0.2935
902,902,0.0,0.294
903,903,0.0,0.2945
904,904,0.0,0.295
905,905,0.0,0.2955
906,906,0.0,0.296
907,907,0.0,0.2965
908,908,0.0,0.297
909,909,0.0,0.2975
910,910,0.0,0.298
911,911,0.0,0.2985
912,912,0.0,0.299
913,913,0.0,0.2995
914,914,0.0,0.3
915,915,0.0,0.3005
916,916,0.0,0.301
917,917,0.0,0.3015
918,918,0.0,0.302
919,919,0.0,0.3025
920,920,0.0,0.303
921,921,0.0,0.3035
922,922,0.0,0.304
923,923,0.0,0.3045
924,924,0.0,0.305
925,925,0.0,0.3055
926,926,0.0,0.306
927,927,0.0,0.3065
928,928,0.0,0.307
929,929,0.0,0.3075
930,930,0.0,0.308
931,931,0.0,0.3085
932,932,0.0,0.309
933,933,0.0,0.3095
934,934,0.0,0.31
935,935,0.0,0.3105
936,936,0.0,0.311
937,937,0.0,0.3115
938,938,0.0,0.312
939,939,0.0,0.3125
940,940,0.0,0.313
941,941,0.0,0.3135
942,942,0.0,0.314
943,943,0.0,0.3145
944,944,0.0,0.315
945,945,0.0,0.3155
946,946,0.0,0.316
947,947,0.0,0.3165
948,948,0.0,0.317
949,949,0.0,0.3175
950,950,0.0,0.318
951,951,0.0,0.3185
952,952,0.0,0.319
1004,1004,0.0,0.3195
1005,1005,0.0,0.32
1006,1006,0.0,0.3205
1007,1007,0.0,0.321
1008,1008,0.0,0.3215
1009,1009,0.0,0.322
1010,1010,0.0,0.3225
1011,1011,0.0,0.323
1012,1012,0.0,0.3235
1013,1013,0.0,0.324
1014,1014,0.0,0.3245
1015,1015,0.0,0.325
1016,1016,0.0,0.3255
1017,1017,0.0,0.326
1018,1018,0.0,0.3265
1019,1019,0.0,0.327
1020,1020,0.0,0.3275
1021,1021,0.0,0.328
1022,1022,0.0,0.3285
1023,1023,0.0,0.329
1024,1024,0.0,0.3295
1025,1025,0.0,0.33
1026,1026,0.0,0.3305
1027,1027,0.0,0.331
1028,1028,0.0,0.3315
1029,1029,0.0,0.332
1030,1030,0.0,0.3325
1031,1031,0.0,0.333
1032,1032,0.0,0.3335
1033,1033,0.0,0.334
1034,1034,0.0,0.3345
1035,1035,0.0,0.335
1036,1036,0.0,0.3355
1037,1037,0.0,0.336
1038,1038,0.0,0.3365
1039,1039,0.0,0.337
1040,1040,0.0,0.3375
1041,1041,0.0,0.338
1042,1042,0.0,0.3385
1043,1043,0.0,0.339
1044,1044,0.0,0.3395
1045,1045,0.0,0.34
1046,1046,0.0,0.3405
1047,1047,0.0,0.341
1048,1048,0.0,0.3415
1049,1049,0.0,0.342
1050,1050,0.0,0.3425
1051,1051,0.0,0.343
1052,1052,0.0,0.3435
1053,1053,0.0,0.344
1054,1054,0.0,0.3445
1055,1055,0.0,0.345
1056,1056,0.0,0.3455
1057,1057,0.0,0.346
1058,1058,0.0,0.3465
1059,1059,0.0,0.347
1060,1060,0.0,0.3475
1061,1061,0.0,0.348
1062,1062,0.0,0.3485
1063,1063,0.0,0.349
1130,1130,0.0,0.3495
1131,1131,0.0,0.35
1132,1132,0.0,0.3505
1133,1133,0.0,0.351
1134,1134,0.0,0.3515
1135,1135,0.0,0.352
1136,1136,0.0,0.3525
1137,1137,0.0,0.353
1138,1138,0.0,0.3535
1139,1139,0.0,0.354
1140,1140,0.0,0.3545
1141,1141,0.0,0.355
1142,1142,0.0,0.3555
1143,1143,0.0,0.356
1144,1144,0.0,0.3565
1145,1145,0.0,0.357
1146,1146,0.0,0.3575
1147,1147,0.0,0.358
1148,1148,0.0,0.3585
1149,1149,0.0,0.359
1150,1150,0.0,0.3595
1151,1151,0.0,0.36
1152,1152,0.0,0.3605
1153,1153,0.0,0.361
1154,1154,0.0,0.3615
1155,1155,0.0,0.362
1156,1156,0.0,0.3625
1157,1157,0.0,0.363
1158,1158,0.0,0.3635
1159,1159,0.0,0.364
1160,1160,0.0,0.3645
1161,1161,0.0,0.365
1162,1162,0.0,0.3655
1163,1163,0.0,0.366
1164,1164,0.0,0.3665
1165,1165,0.0,0.367
1166,1166,0.0,0.3675
1167,1167,0.0,0.368
1168,1168,0.0,0.3685
1169,1169,0.0,0.369
1170,1170,0.0,0.3695
1171,1171,0.0,0.37
1172,1172,0.0,0.3705
1173,1173,0.0,0.371
1174,1174,0.0,0.3715
1175,1175,0.0,0.372
1176,1176,0.0,0.3725
1177,1177,0.0,0.373
1178,1178,0.0,0.3735
1179,1179,0.0,0.374
1180,1180,0.0,0.3745
1181,1181,0.0,0.375
1182,1182,0.0,0.3755
1183,1183,0.0,0.376
1184,1184,0.0,0.3765
1185,1185,0.0,0.377
1186,1186,0.0,0.3775
1232,1232,0.0,0.378
1233,1233,0.0,0.3785
1234,1234,0.0,0.379
1235,1235,0.0,0.3795
1236,1236,0.0,0.38
1237,1237,0.0,0.3805
1238,1238,0.0,0.381
1239,1239,0.0,0.3815
1240,1240,0.0,0.382
1241,1241,0.0,0.3825
1242,1242,0.0,0.383
1243,1243,0.0,0.3835
1244,1244,0.0,0.384
1245,1245,0.0,0.3845
1246,1246,0.0,0.385
1247,1247,0.0,0.3855
1248,1248,0.0,0.386
1249,1249,0.0,0.3865
1250,1250,0.0,0.387
1251,1251,0.0,0.3875
1252,1252,0.0,0.388
1253,1253,0.0,0.3885
1254,1254,0.0,0.389
1255,1255,0.0,0.3895
1256,1256,0.0,0.39
1257,1257,0.0,0.3905
1258,1258,0.0,0.391
1259,1259,0.0,0.3915
1260,1260,0.0,0.392
1261,1261,0.0,0.3925
1262,1262,0.0,0.393
1263,1263,0.0,0.3935
1264,1264,0.0,0.394
1265,1265,0.0,0.3945
1266,1266,0.0,0.395
1267,1267,0.0,0.3955
1268,1268,0.0,0.396
1269,1269,0.0,0.3965
1270,1270,0.0,0.397
1271,1271,0.0,0.3975
1272,1272,0.0,0.398
1273,1273,0.0,0.3985
1274,1274,0.0,0.399
1275,1275,0.0,0.3995
1276,1276,0.0,0.4
1277,1277,0.0,0.4005
1278,1278,0.0,0.401
1279,1279,0.0,0.4015
1280,1280,0.0,0.402
1281,1281,0.0,0.4025
1282,1282,0.0,0.403
1283,1283,0.0,0.4035
1284,1284,0.0,0.404
1285,1285,0.0,0.4045
1286,1286,0.0,0.405
1287,1287,0.0,0.4055
1288,1288,0.0,0.406
1289,1289,0.0,0.4065
1290,1290,0.0,0.407
1291,1291,0.0,0.4075
1292,1292,0.0,0.408
1293,1293,0.0,0.4085
1294,1294,0.0,0.409
1295,1295,0.0,0.4095
1296,1296,0.0,0.41
1297,1297,0.0,0.4105
1298,1298,0.0,0.411
1299,1299,0.0,0.4115
1300,1300,0.0,0.412
1301,1301,0.0,0.4125
1302,1302,0.0,0.413
1363,1363,0.0,0.4135
1364,1364,0.0,0.414
1365,1365,0.0,0.4145
1366,1366,0.0,0.415
1367,1367,0.0,0.4155
1368,1368,0.0,0.416
1369,1369,0.0,0.4165
1370,1370,0.0,0.417
1371,1371,0.0,0.4175
1372,1372,0.0,0.418
1373,1373,0.0,0.4185
1374,1374,0.0,0.419
1375,1375,0.0,0.4195
1376,1376,0.0,0.42
1377,1377,0.0,0.4205
1378,1378,0.0,0.421
1379,1379,0.0,0.4215
1380,1380,0.0,0.422
1381,1381,0.0,0.4225
1382,1382,0.0,0.423
1383,1383,0.0,0.4235
1384,1384,0.0,0.424
1385,1385,0.0,0.4245
1386,1386,0.0,0.425
1387,1387,0.0,0.4255
1388,1388,0.0,0.426
1389,1389,0.0,0.4265
1390,1390,0.0,0.427
1391,1391,0.0,0.4275
1392,1392,0.0,0.428
1393,1393,0.0,0.4285
1394,1394,0.0,0.429
1395,1395,0.0,0.4295
1396,1396,0.0,0.43
1397,1397,0.0,0.4305
1398,1398,0.0,0.431
1399,1399,0.0,0.4315
1400,1400,0.0,0.432
1401,1401,0.0,0.4325
1402,1402,0.0,0.433
1403,1403,0.0,0.4335
1404,1404,0.0,0.434
1405,1405,0.0,0.4345
1406,1406,0.0,0.435
1407,1407,0.0,0.4355
1408,1408,0.0,0.436
1409,1409,0.0,0.4365
1410,1410,0.0,0.437
1411,1411,0.0,0.4375
1412,1412,0.0,0.438
1413,1413,0.0,0.4385
1414,1414,0.0,0.439
1415,1415,0.0,0.4395
1416,1416,0.0,0.44
1476,1476,0.0,0.4405
1477,1477,0.0,0.441
1478,1478,0.0,0.4415
1479,1479,0.0,0.442
1480,1480,0.0,0.4425
1481,1481,0.0,0.443
1482,1482,0.0,0.4435
1483,1483,0.0,0.444
1484,1484,0.0,0.4445
1485,1485,0.0,0.445
1486,1486,0.0,0.4455
1487,1487,0.0,0.446
1488,1488,0.0,0.4465
1489,1489,0.0,0.447
1490,1490,0.0,0.4475
1491,1491,0.0,0.448
1492,1492,0.0,0.4485
1493,1493,0.0,0.449
1494,1494,0.0,0.4495
1495,1495,0.0,0.45
1496,1496,0.0,0.4505
1497,1497,0.0,0.451
1498,1498,0.0,0.4515
1499,1499,0.0,0.452
1500,1500,0.0,0.4525
1501,1501,0.0,0.453
1502,1502,0.0,0.4535
1503,1503,0.0,0.454
1504,1504,0.0,0.4545
1505,1505,0.0,0.455
1506,1506,0.0,0.4555
1507,1507,0.0,0.456
1508,1508,0.0,0.4565
1509,1509,0.0,0.457
1510,1510,0.0,0.4575
1511,1511,0.0,0.458
1512,1512,0.0,0.4585
1513,1513,0.0,0.459
1514,1514,0.0,0.4595
1515,1515,0.0,0.46
1516,1516,0.0,0.4605
1517,1517,0.0,0.461
1518,1518,0.0,0.4615
1519,1519,0.0,0.462
1520,1520,0.0,0.4625
1521,1521,0.0,0.463
1522,1522,0.0,0.4635
1523,1523,0.0,0.464
1524,1524,0.0,0.4645
1525,1525,0.0,0.465
1526,1526,0.0,0.4655
1527,1527,0.0,0.466
1528,1528,0.0,0.4665
1529,1529,0.0,0.467
1530,1530,0.0,0.4675
1531,1531,0.0,0.468
1532,1532,0.0,0.4685
1533,1533,0.0,0.469
1534,1534,0.0,0.4695
1535,1535,0.0,0.47
1536,1536,0.0,0.4705
1537,1537,0.0,0.471
1538,1538,0.0,0.4715
1539,1539,0.0,0.472
1540,1540,0.0,0.4725
1541,1541,0.0,0.473
1586,1586,0.0,0.4735
1587,1587,0.0,0.474
1588,1588,0.0,0.4745
1589,1589,0.0,0.475
1590,1590,0.0,0.4755
1591,1591,0.0,0.476
1592,1592,0.0,0.4765
1593,1593,0.0,0.477
1594,1594,0.0,0.4775
1595,1595,0.0,0.478
1596,1596,0.0,0.4785
1597,1597,0.0,0.479
1598,1598,0.0,0.4795
1599,1599,0.0,0.48
1600,1600,0.0,0.4805
1601,1601,0.0,0.481
1602,1602,0.0,0.4815
1603,1603,0.0,0.482
1604,1604,0.0,0.4825
1605,1605,0.0,0.483
1606,1606,0.0,0.4835
1607,1607,0.0,0.484
1608,1608,0.0,0.4845
1609,1609,0.0,0.485
1610,1610,0.0,0.4855
1611,1611,0.0,0.486
1612,1612,0.0,0.4865
1613,1613,0.0,0.487
1614,1614,0.0,0.4875
1615,1615,0.0,0.488
1616,1616,0.0,0.4885
1617,1617,0.0,0.489
1618,1618,0.0,0.4895
1619,1619,0.0,0.49
1620,1620,0.0,0.4905
1621,1621,0.0,0.491
1622,1622,0.0,0.4915
1623,1623,0.0,0.492
1624,1624,0.0,0.4925
1625,1625,0.0,0.493
1626,1626,0.0,0.4935
1627,1627,0.0,0.494
1628,1628,0.0,0.4945
1629,1629,0.0,0.495
1630,1630,0.0,0.4955
1631,1631,0.0,0.496
1632,1632,0.0,0.4965
1633,1633,0.0,0.497
1634,1634,0.0,0.4975
1635,1635,0.0,0.498
1636,1636,0.0,0.4985
1637,1637,0.0,0.499
1638,1638,0.0,0.4995
1639,1639,0.0,0.5
1640,1640,0.0,0.5005
1641,1641,0.0,0.501
1642,1642,0.0,0.5015
1643,1643,0.0,0.502
1644,1644,0.0,0.5025
1645,1645,0.0,0.503
1646,1646,0.0,0.5035
1647,1647,0.0,0.504
1648,1648,0.0,0.5045
1649,1649,0.0,0.505
1650,1650,0.0,0.5055
1651,1651,0.0,0.506
1652,1652,0.0,0.5065
1653,1653,0.0,0.507
1654,1654,0.0,0.5075
1716,1716,0.0,0.508
1717,1717,0.0,0.5085
1718,1718,0.0,0.509
1719,1719,0.0,0.5095
1720,1720,0.0,0.51
1721,1721,0.0,0.5105
1722,1722,0.0,0.511
1723,1723,0.0,0.5115
1724,1724,0.0,0.512
1725,1725,0.0,0.5125
1726,1726,0.0,0.513
1727,1727,0.0,0.5135
1728,1728,0.0,0.514
1729,1729,0.0,0.5145
1730,1730,0.0,0.515
1731,1731,0.0,0.5155
1732,1732,0.0,0.516
1733,1733,0.0,0.5165
1734,1734,0.0,0.517
1735,1735,0.0,0.5175
1736,1736,0.0,0.518
1737,1737,0.0,0.5185
1738,1738,0.0,0.519
1739,1739,0.0,0.5195
1740,1740,0.0,0.52
1741,1741,0.0,0.5205
1742,1742,0.0,0.521
1743,1743,0.0,0.5215
1744,1744,0.0,0.522
1745,1745,0.0,0.5225
1746,1746,0.0,0.523
1747,1747,0.0,0.5235
1748,1748,0.0,0.524
1749,1749,0.0,0.5245
1750,1750,0.0,0.525
1751,1751,0.0,0.5255
